category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights,image_links
Men's wear,Accessories,Wallets ,Wildedge Men Casual Black Artificial Leather Wallet - Regular Size  (5 Card Slots),4.1,₹189,₹999,NAVKIRANENTERPRISES,4.4,,,https://rukminim1.flixcart.com/image/612/612/jp1i93k0/wallet-card-wallet/a/c/g/patti-classic-wallet-wildedge-original-imafbbezksbwtfsr.jpeg?q=70
Men's wear,Accessories,Wallets ,JOYLAY Men Casual Brown Artificial Leather Card Holder  (7 Card Slots),3.7,₹172,₹299,Joylay,3.5,,,https://rukminim1.flixcart.com/image/612/612/l2jcccw0/wallet-card-wallet/g/5/a/bmw-1-10-bmw-wallet-7-wallet-amor-benison-8-original-imagduqudrakmufg.jpeg?q=70
Men's wear,Accessories,Wallets ,GROWTH INDIA Men Formal Tan Genuine Leather RFID  Wallet - Regular Size  (9 Card Slots),4.0,₹440,₹999,WILDEMPIRE,4.1,,,https://rukminim1.flixcart.com/image/612/612/kri3xjk0/wallet-card-wallet/d/p/y/men-s-purse-giw2020tan-wallet-growth-india-original-imag5afycxhd5zua.jpeg?q=70
Men's wear,Accessories,Belts ,"Elite Crafts Men Casual, Party, Formal, Evening Black Texas Leatherite Belt",4.0,₹379,"₹1,599",ELITE CRAFTS,3.8,,,https://rukminim1.flixcart.com/image/612/612/kyt0ya80/belt/9/4/8/one-size-men-black-artificial-leather-texas-leatherette-belt-original-imagayzq8ezyhvyw.jpeg?q=70
Men's wear,Accessories,Belts ,"Next Paris Men Casual, Party, Formal, Evening Black Genuine Leather Belt",3.9,₹359,"₹1,699",Azibo,4.7,,,https://rukminim1.flixcart.com/image/612/612/xif0q/belt/z/c/c/36-100-genuine-leather-black-casual-and-formal-branded-belts-for-original-imaggzbtgbcddgav.jpeg?q=70
Men's wear,Accessories,Belts ,"URBAN ALFAMI Men Formal, Casual, Evening, Party Black Genuine Leather Belt",4.1,₹259,"₹1,499",AlfaTradingCorp,4.3,,,https://rukminim1.flixcart.com/image/612/612/l4fxh8w0/belt/e/7/b/40-ua-lb40-tmbk-19-40-ua-lb40-tmbk-19-40-belt-urban-alfami-original-imagfcavtrqbdttt.jpeg?q=70
Men's wear,Accessories,Belts ,"KAEZRI Men Evening, Party, Formal, Casual Brown Genuine Leather Belt",4.1,₹299,"₹1,999",KAEZRI,4.7,,,https://rukminim1.flixcart.com/image/612/612/kyj0vbk0/belt/c/s/d/44-mens-brown-casual-original-genuine-leather-belt-original-imagaqpzdh4sfykw.jpeg?q=70
Men's wear,Accessories,Belts ,"ZORO Men Casual, Party, Formal, Evening Black, Brown Texas Leatherite, Artificial Leather Reversible Belt",4.0,₹297,"₹1,499",AlfaTradingCorp,4.3,,,https://rukminim1.flixcart.com/image/612/612/l3t2fm80/belt/z/f/c/44-tx01-rstx01-belt-zoro-original-imageud289tuyyyh.jpeg?q=70
Men's wear,Accessories,Belts ,ZORO Men Black Genuine Leather Belt,4.0,₹259,"₹1,499",AlfaTradingCorp,4.3,,,https://rukminim1.flixcart.com/image/612/612/xif0q/belt/y/r/2/38-army-lock-belt-tm-21-army-lock-belt-zoro-original-imaghjgxqadbfq5b.jpeg?q=70
Men's wear,Accessories,Belts ,"URBAN ALFAMI Men Formal, Casual, Evening, Party Black Genuine Leather Belt",4.1,₹259,"₹1,499",AlfaTradingCorp,4.3,,,https://rukminim1.flixcart.com/image/612/612/l4fxh8w0/belt/e/7/b/40-ua-lb40-tmbk-19-40-ua-lb40-tmbk-19-40-belt-urban-alfami-original-imagfcavtrqbdttt.jpeg?q=70
